date,location,dead person,hurt person,field3
102年10月24日 19時10分,新北市三重區力行路一段前0.0公尺數大勇街(口),1,0,普通重型-機車;行人-人
102年10月27日 03時00分,新北市三重區重新堤外道路前0.0公尺數三重往新莊方向8(附近),1,1,普通重型-機車;自用-小客車;普通重型-機車
102年10月28日 08時10分,新北市三峽區三樹路98巷前0.0公尺數口(附近),1,0,普通輕型-機車;自用-小客車
102年10月31日 18時43分,新北市新莊區三泰路前0.0公尺數54194號燈桿(附近),1,1,自用-大貨車;普通重型-機車;自用-小客車;普通重型-機車
102年11月01日 08時52分,新北市新店區安康路二段308號前0.0公尺數對面(附近),1,0,普通重型-機車
102年11月04日 00時03分,新北市三峽區中正路一段27號前0.0公尺數,1,0,普通重型-機車;自用-小客車
102年11月07日 11時10分,新北市坪林區北宜公路前0.0公尺數35.3K處(附近),1,1,普通重型-機車;營業用-大貨車;普通重型-機車
102年11月07日 23時22分,新北市永和區環河西路前0.0公尺數堤外道路(附近),1,1,普通重型-機車;普通重型-機車
102年11月09日 17時56分,新北市中和區華順街135巷前0.0公尺數,1,0,計程車-小客車;行人-人
102年11月12日 17時51分,新北市蘆洲區民族路167巷前0.0公尺數口(附近),1,1,普通重型-機車;普通重型-機車
102年11月15日 06時35分,新北市三重區重陽路四段132號前0.0公尺數,1,0,行人-人;自用-小客車
102年11月15日 18時06分,新北市汐止區大同路一段前0.0公尺數南陽街(口)(往基隆方向)(附近),1,0,自用-小貨車;行人-人
102年11月16日 11時18分,新北市淡水區北新路一段140號前0.0公尺數,1,1,普通重型-機車;普通重型-機車
102年11月16日 16時29分,新北市三峽區溪東路400號前0.0公尺數,1,0,普通重型-機車;行人-人;自用-小貨車
102年11月17日 13時23分,新北市坪林區大林里無名路前0.0公尺數魚逮魚堀35之7(附近),1,0,自用-小貨車
102年11月19日 16時31分,新北市中和區員山路198號前0.0公尺數,1,1,普通重型-機車;營業用-大貨車;普通重型-機車
102年11月21日 13時44分,新北市汐止區長青路前0.0公尺數五指幹119號(附近),1,0,腳踏自行車-慢車
102年11月23日 10時48分,新北市八里區中山路一段前0.0公尺數中華路(口),1,1,營業用-大貨車;普通輕型-機車;普通輕型-機車
102年11月23日 13時53分,新北市新莊區思源路前0.0公尺數長青街(口),1,0,自用-曳引車;普通重型-機車
102年11月24日 14時37分,新北市新店區新烏路一段46巷前0.0公尺數口(附近),1,1,自用大客車-大客車;普通重型-機車;普通重型-機車
102年11月26日 07時10分,新北市三峽區介壽路三段144號前0.0公尺數,1,0,自用-大貨車;普通重型-機車
102年11月26日 22時29分,新北市土城區青雲路307巷前0.0公尺數口對向車道(往明(附近),1,0,民營公車-大客車;行人-人
102年11月27日 21時46分,新北市泰山區明志路三段前0.0公尺數漢口街(口),1,0,自用-小客車;普通重型-機車
102年11月28日 13時01分,新北市土城區明德路一段前0.0公尺數青山路(口)口(附近),1,0,普通重型-機車;行人-人
102年11月29日 07時25分,新北市林口區信義路152號前0.0公尺數,1,0,營業用-曳引車;普通重型-機車
102年12月03日 02時26分,新北市淡水區淡金路三段228巷前0.0公尺數,1,0,自用-小客車
102年12月04日 20時08分,新北市貢寮區台二線道路前0.0公尺數89公里處(附近),1,0,普通重型-機車;自用-曳引車
102年12月07日 17時30分,新北市林口區文化北路一段前0.0公尺數與忠福路口(附近),2,1,自用-小貨車;自用-小客車;自用-小客車;自用-小客車
102年12月07日 21時25分,新北市新店區安康路三段131號前0.0公尺數,1,2,普通重型-機車;普通重型-機車;普通重型-機車
